age,gender,course,year,parent_education,internet_access,hostel_resident,class_type,weather,study_hours,sleep_hours,travel_time_minutes,attendance,absence_reason,study_sleep_ratio,travel_category
-1.5204424584331528,1,8,0,1,0,1,0,4,0.3707491406176408,0.12996072683354593,-0.6499757316644066,1,2,0.14927931176372464,1
1.106066841252714,2,6,1,1,1,1,0,0,0.8107098972035718,0.5554544303527779,0.12292836216550602,0,1,0.3112930859273238,1
0.6683152913050695,1,1,2,2,1,1,1,3,1.4127614588474777,-0.27828323194841975,0.6110783161633455,1,2,1.2466707881144523,2
-0.20718780859021937,2,8,1,2,1,1,0,0,-1.6090742640190494,0.05521183297205931,0.6517574789964988,0,3,-1.4190222772181045,2
-0.20718780859021937,0,8,0,2,1,1,1,4,-0.7059969215531906,1.3431927733545985,1.383982409993258,0,4,-0.8879883388082586,2
1.106066841252714,1,2,3,2,1,1,0,2,1.0480571474670348,1.3489426882670206,-0.3652215918323335,1,2,0.1873008122269464,1
-1.5204424584331528,0,2,0,3,1,0,0,0,1.0480571474670348,-1.181019873198682,1.099228270161185,1,2,1.6993512950447591,2
0.6683152913050695,1,0,0,2,1,1,1,4,0.27812582344165543,1.1591954961570927,-0.6906548944975599,1,2,-0.23995505932687117,0
-1.0826909084855083,2,7,1,1,0,1,0,4,-1.5164509468430638,-1.5720140872433814,-0.44657991749864007,0,4,-1.2298579043093567,1
-1.5204424584331528,1,5,0,3,1,1,1,0,0.3070706100591508,0.8716997505359901,-0.2838632661660269,1,2,-0.14560490763070608,1
0.2305637413574251,0,4,2,2,1,1,0,3,1.1348915073195214,-0.15753501878755669,-0.12114661483341373,0,1,0.9238492771172256,1
1.5438183912003585,1,3,1,4,0,0,0,4,-1.661174879930541,0.9464486443974772,0.04157003649919944,0,1,-1.471135712714938,1
0.6683152913050695,0,4,3,1,1,0,0,1,-0.9954447877281454,0.722201962813017,0.6924366418296521,1,2,-1.0067719530290944,2
1.106066841252714,0,5,0,1,1,1,0,4,1.2159369098485084,0.9234489847477886,-1.3415214998280125,1,2,0.4454465159387299,0
0.6683152913050695,1,2,1,0,1,1,0,2,-0.9143993851991581,0.7337017926378607,0.9365116188285719,1,2,-0.9518722843916083,2
1.106066841252714,2,5,2,0,0,1,0,1,-1.528028861490062,1.5501897102017932,0.16360752499865933,0,4,-1.3973864183423719,1
0.2305637413574251,1,1,2,4,0,0,1,1,0.764398238615579,-0.15753501878755669,1.221265758660645,0,6,0.6082398404878456,2
-1.0826909084855083,1,7,1,4,1,1,0,4,0.9612227876145486,0.49220536631613515,1.506019898492718,1,2,0.44665668168936623,2
1.106066841252714,0,1,3,2,0,1,0,0,-0.34129261017274776,1.228194475106158,-1.0974465228290928,1,2,-0.6453860646893556,0
-0.20718780859021937,1,2,3,2,1,0,0,3,0.7759761532625775,0.7739511970248153,1.6687365498253313,0,5,0.20432535626685028,2
0.2305637413574251,0,3,2,4,1,0,0,4,0.2549699941476591,0.9234489847477886,-1.0160881971627862,1,2,-0.19462827756187792,0
-0.6449393585378639,2,3,2,1,1,1,1,2,-0.8738766839346644,1.5789392847639028,0.12292836216550602,0,2,-1.0131793874212622,1
-1.0826909084855083,1,4,2,2,1,1,1,0,-0.2834030369377568,1.5386898803769482,-0.7720132201638664,1,2,-0.6596687545909575,0
1.5438183912003585,0,7,1,0,1,1,0,1,0.3881160125881382,0.6532029838639527,1.4246615728264114,0,6,-0.02455829011294354,2
1.106066841252714,1,6,2,1,1,1,0,0,1.2217258671720075,1.1304459215949831,0.814474130329112,1,2,0.37046740543810147,2
0.6683152913050695,1,3,3,3,1,1,0,2,-0.8970325132286608,1.3891920926539751,0.4076825019975791,1,2,-1.0096402741079862,1
-0.20718780859021937,1,6,0,3,1,0,1,0,-1.2791036965796008,-1.4455159591700963,-1.7076339653263921,1,2,-0.941073733532587,0
1.106066841252714,1,4,0,2,0,1,0,3,1.2854043977304976,0.19320979087018816,-1.6262756396600857,1,2,0.8388346688788993,0
